config,chunk_id,source,heading_path,start,end,tokens,body_tokens,chars,clean_start,clean_end,sections,units
A,27b4d0bb-b062-4ac6-bc02-546663ccc22e,squash/squash_powdery_mildew.txt,,14207,15197,365,274,1178,True,True,,
A,cbbec4f3-bfc8-476e-86fc-399fd327869a,squash/squash_powdery_mildew.txt,,15078,15527,213,122,637,True,True,,
A,165ae592-3e42-47ee-abb8-34766316f4d0,strawberry/strawberry_leaf_scorch.txt,,0,952,366,273,1142,True,True,,
A,7bc569d7-4c14-477c-97a0-3b76a21e66af,strawberry/strawberry_leaf_scorch.txt,,817,1765,365,272,1138,True,True,,
A,116e7270-526e-492c-9bfc-fde1924f7f84,strawberry/strawberry_leaf_scorch.txt,,1617,2603,378,285,1176,True,True,,
A,0af856e2-a265-4cbc-a593-1436e1a064d2,strawberry/strawberry_leaf_scorch.txt,,2606,3600,388,295,1184,True,True,,
A,93753d12-8cbb-467e-9a83-55bacbc37b2f,strawberry/strawberry_leaf_scorch.txt,,3461,4362,364,271,1091,True,True,,
A,9229d1ff-c9d1-4fb6-a816-6b6dbb4fe023,strawberry/strawberry_leaf_scorch.txt,,4222,5104,365,272,1072,True,True,,
A,27032ac3-546b-4c1b-b7fa-6d9875cc4f6e,strawberry/strawberry_leaf_scorch.txt,,4986,5968,385,292,1172,True,True,,
A,27ef39d3-8dfb-4458-8a34-8ed210379b73,strawberry/strawberry_leaf_scorch.txt,,5838,6807,368,275,1159,True,True,,
A,115a77f7-7d4a-4f9a-80df-62b23ebd5682,strawberry/strawberry_leaf_scorch.txt,,6731,7716,380,287,1175,True,True,,
A,e91ab2c1-1338-4bf4-84d4-cb080309e3c3,strawberry/strawberry_leaf_scorch.txt,,7632,8626,367,274,1184,True,True,,
A,b3e089f3-eca8-444b-bdb4-9a3d4ce6cd08,strawberry/strawberry_leaf_scorch.txt,,8550,9159,270,177,799,True,True,,
A,8f65bb94-0215-440e-a3cb-a9291a867641,strawberry/strawberry_leaf_scorch.txt,,9044,10026,400,307,1172,True,True,,
A,55436f7f-7c25-4973-96dd-65b807336f95,strawberry/strawberry_leaf_scorch.txt,,9925,10715,324,231,980,True,True,,
A,196d02f1-effb-4790-ac73-d3b98be8cb5b,strawberry/strawberry_leaf_scorch.txt,,10717,11664,368,275,1137,True,True,,
A,13217bda-8a85-4045-885d-c1988abb9d2c,strawberry/strawberry_leaf_scorch.txt,,11518,11946,216,123,618,True,True,,
